"ad_id","category","familiarity","emotion_1","emotion_2","emotion_3","emotion_4"
"IM_9eCio9gN6oIKZrY","gambling",2.64954682779456,3.33534743202417,3.45921450151057,3.31419939577039,3.09063444108761
"IM_TbsKmpVHXGfyc0q","gambling",2.65988372093023,3.37209302325581,3.48546511627907,3.31686046511628,3.05232558139535
"IM_55TrVorfiN1xlbv","product",3.54569892473118,3.70967741935484,3.69086021505376,3.54032258064516,3.18548387096774
"IM_uQY2d9Ki31Phdkn","product",3.92896174863388,3.70491803278689,3.71857923497268,3.50546448087432,3.18306010928962
"IM_jPdv8tQYLcrqj3O","product",3.28328611898017,3.55240793201133,3.58073654390935,3.41076487252125,3.22096317280453
"IM_KuqEenamDVqwhA7","product",3.68857142857143,3.63714285714286,3.67142857142857,3.49142857142857,3.25142857142857
"IM_vParTZdR9uT4qYH","product",2.90112994350283,3.46892655367232,3.53107344632768,3.36723163841808,2.96610169491526
"IM_I9g2pY1Vv8xeaD4","product",3.42970822281167,3.52254641909814,3.59151193633952,3.39787798408488,3.12997347480106
"IM_yP6vNLKPOA3RZoN","product",3.3993993993994,3.55555555555556,3.67567567567568,3.44744744744745,3.18918918918919
"IM_NbX2uc33XTuLPUL","product",3.13259668508287,3.4585635359116,3.63812154696133,3.45303867403315,3.06077348066298
"IM_uIkMhp6XQPgeQQf","product",3.94752186588921,3.63265306122449,3.78425655976676,3.55393586005831,3.22740524781341
"IM_tCpSZ41wohkIqDT","product",3.98071625344353,3.75482093663912,3.82920110192837,3.67217630853994,3.26446280991736
"IM_Z87fmgI0vTbYJVH","product",2.82789317507418,3.46587537091988,3.56083086053412,3.37388724035608,3.10089020771513
"IM_8qs5sGh0UITH3jQ","product",3.48476454293629,3.5983379501385,3.65927977839335,3.43490304709141,3.13296398891967
"IM_bkYkApf8x3X5Dkz","product",3.73939393939394,3.67272727272727,3.68484848484849,3.4969696969697,3.07878787878788
"IM_pDPTEgEVklS0CSs","product",3.24501424501425,3.56410256410256,3.64672364672365,3.45584045584046,3.17948717948718
"IM_neWUsd5Z708AC1d","product",3.40223463687151,3.58938547486034,3.74022346368715,3.5195530726257,3.18994413407821
"IM_jhE9f54V3tpcJmV","product",3.35180055401662,3.57894736842105,3.61772853185596,3.49584487534626,3.07756232686981
"IM_5SKkLsd236GBinb","product",3.15850144092219,3.57348703170029,3.73775216138329,3.50432276657061,3.06628242074928
"IM_43nlHqKt2Tc2Aaq","product",2.78611111111111,3.43611111111111,3.66944444444444,3.4,3.13888888888889
"IM_JPQYiZdLDmm3ICC","product",3.63128491620112,3.71508379888268,3.768156424581,3.65083798882682,3.22905027932961
"IM_9NYOJPHZuzcYn62","product",3.49560117302053,3.56304985337243,3.73313782991202,3.53372434017595,3.21114369501466
"IM_xptQmRgcHUrETx2","product",2.75066312997347,3.30503978779841,3.39257294429708,3.19628647214854,2.95490716180371
"IM_sTiidnW71ckczBd","product",2.75549450549451,3.32967032967033,3.52197802197802,3.25274725274725,3.0521978021978
"IM_K3SWHGEgyL0OWYz","product",2.68306010928962,3.46994535519126,3.55191256830601,3.36065573770492,2.99453551912568
"IM_kVf0yGXTyekhc7k","product",2.85672514619883,3.34502923976608,3.45614035087719,3.28070175438596,3.10526315789474
"IM_fhgzFlBKDIAF4IT","product",2.68732394366197,3.33802816901408,3.4112676056338,3.29014084507042,3.09014084507042
"IM_A2JA6OSFt8JcnYq","product",2.8475935828877,3.48128342245989,3.60160427807487,3.36898395721925,3.1524064171123
"IM_oZmJzSI2yX7vLqm","product",3.0159151193634,3.39522546419098,3.49336870026525,3.30769230769231,3.0053050397878
"IM_KhzZg6vETTZo5F3","product",2.79479768786127,3.52023121387283,3.60404624277457,3.41907514450867,3.13294797687861
"IM_TsMgP4hnCp1k7Xc","product",2.99182561307902,3.5449591280654,3.64032697547684,3.37057220708447,3.12806539509537
"IM_wHcmsklg5H4HNiC","product",2.83768115942029,3.33623188405797,3.44057971014493,3.31304347826087,3.04927536231884
"IM_1Ah4m4bXyWEoaPP","vmpfc",2.51479289940828,3.40828402366864,3.52662721893491,3.29289940828402,3.00295857988166
"IM_LdMKC5AQb1t2NjC","vmpfc",3.35875706214689,3.66101694915254,3.80225988700565,3.67514124293785,3.2683615819209
"IM_AgA2TjZMjIq3Dtq","vmpfc",3.33137829912023,3.62463343108504,3.70087976539589,3.55425219941349,3.10557184750733
"IM_3rPhbVrrNoiBQF1","vmpfc",2.96067415730337,3.58988764044944,3.62359550561798,3.51966292134831,3.07022471910112
"IM_n6vkk8dtd3BbN6D","vmpfc",3.70391061452514,3.68156424581006,3.77653631284916,3.57541899441341,3.12290502793296
"IM_D0A1JdBy44gOJ5Z","vmpfc",3.52293577981651,3.63608562691131,3.70030581039755,3.57798165137615,3.14373088685015
"IM_T5kRZA0BvZSgLW9","vmpfc",2.90434782608696,3.54492753623188,3.62898550724638,3.39710144927536,3.11014492753623
"IM_36acU4YoT3cnh1C","vmpfc",2.88888888888889,3.56695156695157,3.61253561253561,3.44444444444444,3.05698005698006
"IM_8RW6asClO2JR40B","vmpfc",2.78134110787172,3.58892128279883,3.66472303206997,3.39650145772595,3.22740524781341
"IM_4IM16wYIayqvSEH","vmpfc",2.75942028985507,3.4,3.55942028985507,3.27536231884058,3.04057971014493
"IM_KBNrg131pdFkgtu","vmpfc",2.50928381962865,3.30238726790451,3.42440318302387,3.26790450928382,3.17506631299735
"IM_LCqgSD8iGo97goJ","vmpfc",3.29597701149425,3.61494252873563,3.61781609195402,3.36494252873563,3.09770114942529
"IM_fihFsRqdMqNG7YE","vmpfc",2.85714285714286,3.3781512605042,3.5546218487395,3.3109243697479,3.0140056022409
"IM_DjwTeDBZlMyMLLV","vmpfc",2.70441988950276,3.39502762430939,3.53867403314917,3.40331491712707,3.146408839779
"IM_IZOJw3b5f99EPZ9","vmpfc",2.64285714285714,3.47527472527472,3.60989010989011,3.33791208791209,3.02472527472527
"IM_5ebk6phOqmj9MDS","vmpfc",3.1900826446281,3.53719008264463,3.58402203856749,3.36363636363636,3.1763085399449
"IM_1LkJmYJP7cXTOcK","vmpfc",2.76080691642651,3.68299711815562,3.7463976945245,3.5850144092219,3.18155619596542
"IM_j0mn1bTARG2F84N","vmpfc",2.77142857142857,3.54285714285714,3.55142857142857,3.34285714285714,3.01428571428571
"IM_TucdnqCFTyaTDdd","vmpfc",3.5,3.6867816091954,3.76724137931034,3.56896551724138,3.11781609195402
"IM_IsfWfrEIcGVHVVO","vmpfc",2.77158774373259,3.4874651810585,3.59610027855153,3.45403899721448,3.18384401114206
"IM_CV8ztGNyIqPIK0Y","vmpfc",3.10662824207493,3.5792507204611,3.65994236311239,3.52161383285303,3.22190201729107
"IM_RSPsasimYUq1Apj","vmpfc",3.25815217391304,3.64402173913044,3.72010869565217,3.56521739130435,3.13858695652174
"IM_QSozx185SYueHBo","vmpfc",2.90751445086705,3.68208092485549,3.71387283236994,3.53179190751445,3.23410404624278
"IM_VJ1Dn4N4iNzf28G","vmpfc",3.32485875706215,3.61016949152542,3.72598870056497,3.55649717514124,3.11299435028249
"IM_OeeB1glaDmwlWoe","vmpfc",2.73493975903614,3.4789156626506,3.5,3.39759036144578,3.0421686746988
"IM_WVQ037PsCdetR4I","vmpfc",2.60755813953488,3.5843023255814,3.61918604651163,3.53779069767442,3.08720930232558
"IM_8EU5I9ZhBaqEPCx","vmpfc",3.46153846153846,3.59467455621302,3.59467455621302,3.4585798816568,3.19822485207101
"IM_ONP2cVRW9H1OlBZ","vmpfc",3.76271186440678,3.67796610169492,3.72033898305085,3.53107344632768,3.25423728813559
"IM_O46zwggWPHOiT6Q","vmpfc",3.49865229110512,3.59568733153639,3.60646900269542,3.39353099730458,3.14285714285714
"IM_WxlIq4PWxuSIJQ2","vmpfc",3.3876404494382,3.62078651685393,3.73033707865169,3.53932584269663,3.20505617977528
