"ResponseId","spsrq_matrix_1","spsrq_matrix_2","spsrq_matrix_3","spsrq_matrix_4","spsrq_matrix_5","spsrq_matrix_6","spsrq_matrix_7","spsrq_matrix_8","spsrq_matrix_9","spsrq_matrix_10","spsrq_matrix_11","spsrq_matrix_12","spsrq_matrix_13","spsrq_matrix_14","spsrq_matrix_15","spsrq_matrix_16","spsrq_matrix_17","spsrq_matrix_18","spsrq_matrix_19","spsrq_matrix_20","spsrq_sr","spsrq_sp"
"R_6IUJwxm2U67iepH",4,3,4,3,5,3,4,3,4,3,4,2,4,2,4,2,3,2,4,2,25,40
"R_7AYo58CkpJRMdkl",2,2,2,4,1,1,3,3,3,4,2,5,2,3,4,5,1,2,1,4,33,21
"R_7nT3PFAEZrviE1d",1,2,2,4,1,1,4,3,2,3,2,4,1,3,1,2,2,3,2,1,26,18
"R_7pJpOnRfelnL3Zq",1,4,1,3,1,1,2,1,2,2,1,2,1,3,1,2,1,1,1,1,20,12
"R_1Cdbc0YPaonCUCZ",3,2,3,3,2,2,1,1,3,3,2,1,1,1,2,1,1,4,2,1,19,20
"R_6e8YopyHShDxzxE",1,1,2,2,2,2,2,2,2,3,1,3,1,1,2,2,1,2,1,1,19,15
"R_10xdJGGJABI6P2o",2,1,3,1,4,2,3,1,2,2,4,1,3,2,1,1,2,2,4,1,14,28
"R_710bC1IOA9cqUpH",1,1,1,1,2,4,4,3,5,5,1,1,1,3,1,3,3,1,1,4,26,20
"R_7qffoiWVZNLKuLx",4,3,1,3,4,1,3,3,3,5,3,1,1,3,1,1,1,1,1,3,24,22
"R_5ixPTr0uHqI2Sfu",3,3,1,3,1,1,3,1,1,3,3,4,1,1,1,1,1,3,1,1,21,16
"R_31db3e0KcsC3Hqp",2,1,1,3,2,4,2,2,3,3,2,3,1,3,1,3,1,1,1,3,26,16
"R_6OV5OalPygdHNAu",2,1,1,5,1,1,1,1,1,3,1,5,1,1,1,5,1,1,1,1,24,11
"R_3q2t6FfZEe7xoEZ",3,1,2,3,4,1,1,1,2,3,1,3,2,1,1,1,2,1,1,1,16,19
"R_5IxYYDGpPqOWuKu",4,1,4,1,4,1,1,1,3,4,3,1,2,3,1,1,1,1,3,1,15,26
"R_3QnqrkQsT6m8gGz",1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,1,11,14
"R_5z1vGEvvn03lT3P",5,2,2,4,5,1,4,1,5,4,4,2,4,2,4,1,2,1,4,1,19,39
"R_6aDiWbvge35ZuzB",1,1,1,3,1,3,3,3,4,5,4,2,2,5,3,1,4,1,3,3,27,26
"R_3pS4UGNjUGhIFZT",3,2,3,4,3,3,4,3,3,3,4,4,3,4,3,3,3,3,3,3,32,32
"R_3qby870JiO6FspX",1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,13
"R_5oYBS1C3GhrvWvN",5,1,4,2,4,2,2,2,5,3,5,1,5,1,4,1,2,5,4,1,19,40
"R_6f0NGQOyPoOxR0c",4,1,2,4,4,2,2,4,4,4,4,4,2,2,2,4,4,4,4,4,33,32
"R_6ULGxCjM2NBYE0x",4,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,22,23
"R_5GlYha5NaGXhs5W",2,4,2,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,12
"R_1QjwkebCB0V213j",3,1,2,4,3,3,3,3,2,2,3,1,2,3,3,2,1,3,3,3,25,25
"R_3NTWG9v4ZGTgOBH",4,1,4,1,4,1,1,1,2,3,4,1,3,2,1,1,1,1,4,1,13,28
"R_3GNzZGNnPumekPh",3,2,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,14,17
"R_5j6GBjhiORYOZA4",3,1,3,1,4,1,3,1,3,2,4,2,3,2,2,1,1,2,2,2,15,28
"R_6wS5TpPLUH8BNq9",4,4,2,2,5,1,2,1,1,3,5,1,5,1,4,1,2,1,5,1,16,35
"R_3zYN7dYYBAK9u0O",5,1,4,2,5,1,3,2,4,3,3,1,2,1,2,1,3,1,3,1,14,34
"R_5lyPBW3iNpEU5fW",4,3,4,4,2,1,3,1,4,4,4,3,4,3,1,2,1,2,1,1,24,28
"R_7asIJEEywE2iQFv",3,1,2,4,2,2,1,2,3,3,4,4,2,1,3,4,4,2,2,2,25,26
"R_7CZgMiBp1j6jcKl",5,3,3,2,3,3,3,2,2,3,3,2,1,3,3,3,3,3,3,3,27,29
"R_5OGZ4I0FqSj0zPX",5,1,2,2,1,1,1,1,1,2,2,1,3,1,1,1,1,1,2,1,12,19
