"ResponseId","bisbas_matrix_1","bisbas_matrix_2","bisbas_matrix_3","bisbas_matrix_4","bisbas_matrix_5","bisbas_matrix_6","bisbas_matrix_7","bisbas_matrix_8","bisbas_matrix_9","bisbas_matrix_10","bisbas_matrix_11","bisbas_matrix_12","bisbas_matrix_13","bisbas_matrix_14","bisbas_matrix_15","bisbas_matrix_16","bisbas_matrix_17","bisbas_matrix_18","bisbas_matrix_19","bisbas_matrix_20","bisbas_reward_res","bisbas_drive","bisbas_fun_seek","bisbas_bis"
"R_5lACVPPM014Wmwd",3,3,3,3,2,3,1,3,3,2,2,3,2,2,2,2,3,2,3,2,12,10,9,18
"R_3GnrbByp0pONqKd",2,2,3,2,1,2,1,2,2,2,2,3,1,2,2,3,3,3,2,3,14,8,8,13
"R_64jC50kf2fwXiOA",2,2,2,2,2,2,1,3,3,3,3,2,2,3,2,3,3,3,3,2,14,12,9,13
"R_6wjeDONWdHCNJ0q",1,2,3,2,1,2,1,3,2,2,3,2,2,1,1,3,3,4,3,2,15,10,6,12
"R_3fk0NLdiIxzKrcD",1,2,1,2,2,2,1,2,2,1,1,2,1,3,2,3,3,2,1,2,11,6,8,11
"R_3NeikfJMuZEEHQJ",1,1,3,3,3,1,3,4,4,4,4,4,3,4,3,4,4,4,4,4,20,16,14,15
"R_5ClKVwFWaPfnpqH",1,1,3,3,2,2,2,2,3,3,2,2,1,3,1,3,3,3,3,2,14,10,7,14
"R_7471xG7AkXS7wBv",1,1,1,1,1,1,2,3,2,3,2,3,3,3,3,3,3,3,4,3,16,10,12,8
"R_7JJdmquPgws7SFI",2,2,3,2,2,3,2,2,2,2,2,2,2,3,2,2,3,3,3,2,13,8,9,16
"R_5Bqu98WSa3SSJW1",3,2,3,3,2,1,1,3,2,2,2,2,1,2,2,3,3,3,3,3,15,9,7,15
"R_531awRduDvVkAjg",1,1,1,1,1,1,1,3,2,1,1,2,1,2,2,3,4,2,3,3,15,7,7,7
"R_3I6PL2Bnd5m6YEX",1,1,2,3,2,2,0,3,3,3,2,1,3,4,2,4,3,3,4,3,17,11,10,11
"R_6SicG1vZUCP2r9B",2,1,2,1,1,1,3,2,2,2,2,3,2,3,2,3,3,3,3,3,15,8,10,11
"R_7QKtauf23FclmZj",3,2,2,3,2,3,2,2,3,3,2,2,2,2,3,3,3,3,3,2,14,10,9,17
