ID,ResponseId,demo_zip_p,GEO_ID,NAME,TravTmCas,TravMiCas,TenMiCas,ADINat,ADIState,SVI_SES,Gini,poverty,unemployed,bachelors,tenure,homeowner,white_p,black_p,native_p,pacific_p,hispanic_p,other_p,white_n,black_n,native_n,pacific_n,hispanic_n,other_n,TenMiMHT,TravTmGDT,TravMiGDT,TenMiRel,TenMiRelC,ec_zip,clust_zip,s_ratio,volun_rate,civic_org,TotalCrime,ViolCrime
273,R_3431dwm2WlFhKox,28792,860Z200US28792,ZCTA5 28792,-999,-999,0,55,5,0.7634,0.4216,15.82800665,2.072154356,26.4187059,89.21317418,60.00874945,78.21795903,4.1723268,1.128330238,0,20.36816279,8.1810873,28214,1505,407,0,7347,2951,5,-999,-999,74,46,0.62652999,0.099299997,0.96950001,0.071620002,0.0219,99,66
711,R_3Eye5Xgk4iKLSaB,74834,860Z200US74834,ZCTA5 74834,7.459114193,5.713563739,1,95,9,0.5646,0.4507,14.70309752,2.046617396,19.69581749,92.58140316,80.39610608,79.55237717,3.377036154,2.820818435,0,3.204873527,1.589193484,6007,255,213,0,242,120,1,-999,-999,24,19,0.85124999,0.1117,0.99392998,0.080150001,0.0219,57,64
121,R_5ClKVwFWaPfnpqH,12979,860Z200US12979,ZCTA5 12979,-999,-999,0,86,10,0.7322,0.4992,15.69630212,5.546623794,20.35694367,91.08280255,53.90127389,93.90243902,0.118017309,0.078678206,0,2.478363493,2.517702596,2387,3,2,0,63,64,0,-999,-999,2,2,0.81796002,0.12619001,0.98201001,0.15847,0.02194,36,25
561,R_7YM6Rf2fdp8KueI,50226,860Z200US50226,ZCTA5 50226,29.38984573,19.68487525,0,27,1,0.1259,0.3825,5.181705126,2.614213198,48.12800669,97.26907631,91.80722892,96.15912209,0.315500686,0,0,1.714677641,0.329218107,7010,23,0,0,125,24,4,17.06944888,11.1127239,2,2,1.33526,0.092940003,0.95567,0.12345,0.02207,18,17
602,R_32R1XDSNyTGYVAl,57350,860Z200US57350,ZCTA5 57350,1.969759937,0.880592965,4,83,9,0.6589,0.447,14.73191705,2.988920381,27.34397678,89.16546992,68.24636987,66.77607134,1.120881843,1.442903146,1.498637602,16.31161754,11.32028734,10783,181,233,242,2634,1828,3,-999,-999,39,33,0.67874998,0.11962,0.99712002,0.049660001,0.022089999,77,88
435,R_6813LD5V2VBexyh,38301,860Z200US38301,ZCTA5 38301,-999,-999,0,-999,-999,0.9826,0.4931,29.70154044,10.73595868,16.12250529,88.89799568,49.82490127,42.42560595,50.20698344,0.257979362,0.260979122,4.376649868,2.030837533,14143,16737,86,87,1459,677,8,-999,-999,131,91,0.55688,0.10968,0.98470998,0.041170001,0.022150001,188,312
891,R_5h2uGwyjVuwxqBX,90017,860Z200US90017,ZCTA5 90017,4.718384345,0.83852738,8,16,6,0.9895,0.5118,35.38397733,6.190616701,36.22394049,79.38931298,5.951371219,20.24774852,13.04992926,1.131775991,0,56.41972327,38.11807736,5868,3782,328,0,16351,11047,100,5.506957515,1.904094905,1243,597,0.64405,0.078330003,0.59718001,0.044659998,0.022150001,198,265
812,R_7Do44e0FzIKW61m,82301,860Z200US82301,ZCTA5 82301,-999,-999,0,50,5,0.6845,0.4224,12.6625065,8.686551544,18.4628821,89.28460824,73.45927532,81.61364461,2.249909278,0.88302891,0.036288859,23.9990323,5.54009919,6747,186,73,3,1984,458,1,-999,-999,23,18,0.90302002,0.11597,0.99576002,0.075099997,0.02232,77,56
209,R_5Ibmzt5tVhFDd6o,21830,860Z200US21830,ZCTA5 21830,33.6086707,26.39188,0,33,5,0.2545,0.4422,6.425140112,4.610446455,39.15761764,92.67480577,86.29300777,80.38392322,13.57728454,0.059988002,0.299940012,2.73945211,0.459908018,4020,679,3,15,137,23,11,12.06875276,7.493322447,90,45,0.93114001,0.10292,0.88538003,0.066440001,0.02241,70,63
594,R_30I6tQ8sgkkVyLo,55350,860Z200US55350,ZCTA5 55350,-999,-999,0,66,8,0.3020,0.4499,9.023088652,3.937971843,25.70419833,91.15794885,73.93651202,93.73081273,0.716324662,0.226207788,0,4.389508267,1.561910917,17403,133,42,0,815,290,4,-999,-999,36,22,1.15565,0.1152,0.99089003,0.090369999,0.02242,54,45
228,R_5KnouKJdDXyA4Uh,24112,860Z200US24112,ZCTA5 24112,-999,-999,0,94,10,0.8584,0.4764,16.95594126,4.059609455,18.99217671,94.53653981,68.83804187,51.66547858,37.85237509,0,0.042122999,6.580908561,3.855874538,15945,11682,0,13,2031,1190,6,6.250371284,2.640653545,135,106,0.52227002,0.12813,0.99699003,0.05804,0.022609999,78,65
600,R_7IyNizJs88szDN5,56649,860Z200US56649,ZCTA5 56649,-999,-999,0,82,10,0.4941,0.4135,11.64858,4.965941551,20.96016962,91.92226645,80.54319831,90.18549747,0.71950534,1.877459247,0,1.765036537,0.393479483,8022,64,167,0,157,35,2,-999,-999,16,15,0.96775001,0.17519,1,0.13094001,0.022679999,56,65
492,R_7kby0wT3hZX3eTL,45305,860Z200US45305,ZCTA5 45305,27.02164876,19.51709179,0,19,1,0.0975,0.3849,3.307645684,1.249340137,52.18025021,95.3117888,79.81338188,87.61748728,0.707079417,0,0,3.362938691,0.888160731,10161,82,0,0,390,103,26,15.32840533,7.513969481,54,30,1.08005,0.094120003,0.86173999,0.13354,0.02282,54,15
108,R_6COZ2QDg7ahTBro,11716,860Z200US11716,ZCTA5 11716,11.54633779,5.305607183,3,18,5,0.1976,0.3713,7.972359736,2.819956616,42.00663111,90.80083358,84.19172373,85.13846154,1.794871795,0,0,8.81025641,1.241025641,8301,175,0,0,859,121,31,8.497797777,3.544017258,36,18,1.23721,0.10295,0.88845998,0.070320003,0.022879999,106,76
650,R_1Mm4TUF8lN3RH4h,64093,860Z200US64093,ZCTA5 64093,-999,-999,0,70,5,0.7344,0.4333,14.76043594,5.375950849,35.06138244,80.19774275,55.86232628,86.38627358,4.100476208,0.061797957,0,4.732996474,1.555854448,23764,1128,17,0,1302,428,2,-999,-999,54,44,0.99747998,0.096309997,0.97693998,0.10558,0.02311,87,59
741,R_1CHjIG3AYAcL3jo,76245,860Z200US76245,ZCTA5 76245,21.94192503,20.19979044,0,58,5,0.4643,0.4795,17.21034871,6.131386861,21.76386913,85.92297477,90.96945551,87.85151856,0.731158605,1.46231721,0,4.724409449,0.618672666,1562,13,26,0,84,11,0,-999,-999,5,3,-999,0.097336426,0.87196594,0.074444383,0.023441808,95,114
